Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS
Feb 2009,398.034887,44.25319,459.426898,1179.49688,362.178333
Mar 2009,417.886929,44.64676,470.649474,1248.40534,384.597731
Abr 2009,445.208722,32.42943,473.744447,1294.65953,402.295854
May 2009,472.708964,32.61125,480.619473,1305.69974,415.433693
Jun 2009,469.072157,32.29827,484.20371,1277.49483,414.584603
Jul 2009,483.219229,32.08296,491.701482,1305.41423,430.02013
Ago 2009,502.558937,20.7937,483.375096,1322.79949,444.175938
Sep 2009,511.178927,20.8777,488.484638,1359.45824,458.072819
Oct 2009,525.558519,20.96588,471.732267,1391.75307,448.704591
Nov 2009,524.12317,21.06991,476.319715,1424.77242,458.577798
Dic 2009,512.568049,20.85293,468.387865,1299.73507,466.40274
Ene 2010,505.806036,11.09055,473.779661,1330.43614,478.965044
Feb 2010,508.495713,11.1311,465.162551,1400.638,488.845318
Mar 2010,517.315271,11.17626,469.670681,1449.75557,515.303865
Abr 2010,532.584516,11.22056,457.03719,1496.82634,526.694829
May 2010,523.393993,11.26375,460.28883,1529.32197,536.236718
Jun 2010,540.139318,0,448.695947,1528.13154,554.151786
Jul 2010,506.302358,0,452.145434,1605.96561,582.339414
Ago 2010,495.978783,0,396.796248,1640.68983,596.23793
Sep 2010,502.403396,0,398.672368,1699.16751,623.244824
Oct 2010,466.605911,0,389.926178,1730.35343,641.318185
Nov 2010,457.68185,0,399.995409,1715.10613,621.251328
Dic 2010,557.122523,0,400.248684,1612.49219,583.070736
Ene 2011,564.116899,0,419.15249,1617.24692,556.0390314
Feb 2011,537.549369,0,430.076299,1660.56713,558.8795666
Mar 2011,536.815279,0,442.893128,1685.02047,578.2461993
Abr 2011,540.714531,0,469.53534,1737.582,607.622173
May 2011,563.173731,0,496.364353,1797.89696,624.1860631
Jun 2011,631.863911,0,521.736102,1731.05865,619.7683124
Jul 2011,631.249289,0,551.42435,1782.57496,648.9157503
Ago 2011,641.253637,0,583.214879,1867.83284,671.3529956
Sep 2011,631.358387,0,624.066479,1873.55351,681.3438046
Oct 2011,663.557505,0,642.203405,1938.20285,703.1347756
Nov 2011,672.703965,0,669.719839,1939.36321,698.4474509
Dic 2011,696.021621,0,697.612905,1779.16791,703.1121345
Ene 2012,709.075641,0,717.206613,1856.94597,740.8446413
Feb 2012,713.388904,0,731.003502,1876.54279,745.4097015
Mar 2012,717.404058,0,760.4917,1878.47394,733.0417457
Abr 2012,730.606601,0,767.828878,1938.97688,769.564274
May 2012,736.034482,0,797.04208,1987.02729,793.2821233
