Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS,?CETES,?BONDES,?BONDES D,?BONOS,?UDIBONOS
Ene 2001,"176,734,008.00","416,870,687.00",0.00,"35,176,920.00","88,199,283.00",0.95,-0.81,0.00,0.88,1.79
Feb 2001,"178,155,209.00","415,849,429.00",0.00,"40,785,746.40","84,553,716.00",0.80,-0.24,0.00,15.94,-4.13
Mar 2001,"178,431,020.00","408,152,372.00",0.00,"49,876,000.00","83,594,041.00",0.15,-1.85,0.00,22.29,-1.13
Abr 2001,"177,844,787.00","399,917,995.00",0.00,"58,165,090.00","85,900,017.00",-0.33,-2.02,0.00,16.62,2.76
May 2001,"181,213,163.00","386,894,036.00",0.00,"67,196,100.00","85,263,571.00",1.89,-3.26,0.00,15.53,-0.74
Jun 2001,"184,955,851.00","380,928,044.00",0.00,"73,602,710.00","85,993,349.00",2.07,-1.54,0.00,9.53,0.86
Jul 2001,"186,520,381.00","377,777,234.90",0.00,"79,959,908.30","87,729,087.70",0.85,-0.83,0.00,8.64,2.02
Ago 2001,"191,502,541.00","378,019,209.00",0.00,"92,292,090.80","86,981,822.80",2.67,0.06,0.00,15.42,-0.85
Sep 2001,"190,669,832.00","357,558,568.10",0.00,"91,705,374.80","88,365,923.60",-0.43,-5.41,0.00,-0.64,1.59
Oct 2001,"192,105,231.00","364,442,219.10",0.00,"105,259,093.80","90,825,243.70",0.75,1.93,0.00,14.78,2.78
Nov 2001,"190,554,205.00","353,205,062.90",0.00,"112,494,484.50","92,296,239.70",-0.81,-3.08,0.00,6.87,1.62
Dic 2001,"196,673,885.20","348,988,019.10",0.00,"122,329,819.40","94,846,729.90",3.21,-1.19,0.00,8.74,2.76
Ene 2002,"195,020,646.00","346,848,723.00",0.00,"136,089,921.20","96,061,853.60",-0.84,-0.61,0.00,11.25,1.28
Feb 2002,"205,518,964.00","353,552,469.00",0.00,"142,295,077.80","94,235,865.70",5.38,1.93,0.00,4.56,-1.90
Mar 2002,"203,177,451.00","357,189,603.00",0.00,"146,867,513.60","97,060,764.70",-1.14,1.03,0.00,3.21,3.00
Abr 2002,"207,256,360.80","361,113,140.00",0.00,"158,083,915.60","99,579,627.10",2.01,1.10,0.00,7.64,2.60
May 2002,"200,651,301.00","366,125,011.00",0.00,"170,659,810.50","97,382,807.10",-3.19,1.39,0.00,7.96,-2.21
Jun 2002,"202,815,953.20","366,595,915.00",0.00,"182,583,923.00","98,270,666.40",1.08,0.13,0.00,6.99,0.91
Jul 2002,"199,465,802.00","364,978,888.10",0.00,"182,576,275.90","98,794,018.20",-1.65,-0.44,0.00,0.00,0.53
Ago 2002,"204,241,709.00","363,051,034.00",0.00,"195,525,576.20","96,872,038.60",2.39,-0.53,0.00,7.09,-1.95
Sep 2002,"197,068,029.00","355,651,071.00",0.00,"198,125,500.00","95,312,220.50",-3.51,-2.04,0.00,1.33,-1.61
Oct 2002,"198,785,886.00","355,174,807.00",0.00,"211,148,272.90","96,189,270.20",0.87,-0.13,0.00,6.57,0.92
Nov 2002,"208,282,369.00","351,174,398.90",0.00,"220,113,256.30","96,502,195.00",4.78,-1.13,0.00,4.25,0.33
Dic 2002,"197,438,671.00","343,345,208.00",0.00,"235,088,795.90","99,767,654.40",-5.21,-2.23,0.00,6.80,3.38
Ene 2003,"206,100,530.00","341,401,610.00",0.00,"229,034,961.10","81,105,373.40",4.39,-0.57,0.00,-2.58,-18.71
Feb 2003,"200,241,615.50","342,232,009.90",0.00,"238,135,279.10","81,873,908.80",-2.84,0.24,0.00,3.97,0.95
Mar 2003,"206,770,805.00","338,865,600.30",0.00,"243,841,764.00","81,835,830.20",3.26,-0.98,0.00,2.40,-0.05
Abr 2003,"201,361,164.00","339,492,310.20",0.00,"258,181,374.70","81,897,271.90",-2.62,0.18,0.00,5.88,0.08
May 2003,"209,384,484.90","336,090,960.60",0.00,"277,394,664.40","84,437,116.50",3.98,-1.00,0.00,7.44,3.10
Jun 2003,"205,622,274.10","342,513,449.40",0.00,"288,815,525.40","86,838,944.90",-1.80,1.91,0.00,4.12,2.84
Jul 2003,"211,446,094.10","344,247,479.50",0.00,"308,972,829.00","86,459,503.20",2.83,0.51,0.00,6.98,-0.44
Ago 2003,"206,959,218.90","351,474,730.10",0.00,"310,315,525.40","86,750,950.20",-2.12,2.10,0.00,0.43,0.34
Sep 2003,"216,028,460.90","358,623,220.50",0.00,"320,238,954.30","89,989,682.30",4.38,2.03,0.00,3.20,3.73
Oct 2003,"218,467,209.00","359,673,529.60",0.00,"338,031,462.10","91,646,261.60",1.13,0.29,0.00,5.56,1.84
Nov 2003,"210,001,359.00","363,585,040.20",0.00,"352,283,971.30","92,233,991.10",-3.88,1.09,0.00,4.22,0.64
Dic 2003,"212,913,027.00","355,993,559.80",0.00,"360,899,370.90","94,650,908.40",1.39,-2.09,0.00,2.45,2.62
Ene 2004,"214,794,337.00","360,839,600.30",0.00,"364,533,157.40","77,988,780.20",0.88,1.36,0.00,1.01,-17.60
Feb 2004,"232,529,884.00","346,328,509.90",0.00,"371,723,388.20","79,734,885.00",8.26,-4.02,0.00,1.97,2.24
Mar 2004,"236,619,471.00","351,973,429.90",0.00,"381,517,324.40","79,794,495.90",1.76,1.63,0.00,2.63,0.07
Abr 2004,"247,944,348.80","341,273,950.10",0.00,"389,608,981.40","78,660,678.10",4.79,-3.04,0.00,2.12,-1.42
May 2004,"248,480,659.00","345,221,170.00",0.00,"390,431,276.30","80,456,528.80",0.22,1.16,0.00,0.21,2.28
